"","k","f","type"
"挑食",17356,1,"挑食"
"挑起",17357,1,"挑起"
"挑起來",17358,1,"挑起來"
"挑廢",17359,1,"挑廢"
"挑戰性",17360,1,"挑戰性"
"挑選",17361,1,"挑選"
"挖吼",17362,1,"挖吼"
"挖角",17363,1,"挖角"
"挖來",17364,1,"挖來"
"挖掘",17365,1,"挖掘"
"挖嗚",17366,1,"挖嗚"
"政八",17367,1,"政八"
"政大人",17368,1,"政大人"
"政局",17369,1,"政局"
"政治化",17370,1,"政治化"
"政治系",17371,1,"政治系"
"政治板",17372,1,"政治板"
"政商",17373,1,"政商"
"政戰",17374,1,"政戰"
"政變",17375,1,"政變"
"故作",17376,1,"故作"
"故我",17377,1,"故我"
"故技",17378,1,"故技"
"故事片",17379,1,"故事片"
"故宮",17380,1,"故宮"
"施主",17381,1,"施主"
"施以",17382,1,"施以"
"施明德",17383,1,"施明德"
"施政",17384,1,"施政"
"既是",17385,1,"既是"
"星伯",17386,1,"星伯"
"星海誠",17387,1,"星海誠"
"星國",17388,1,"星國"
"星期一",17389,1,"星期一"
"星期六",17390,1,"星期六"
"星雲",17391,1,"星雲"
"星爺",17392,1,"星爺"
"春天",17393,1,"春天"
"春華",17394,1,"春華"
"昧昧",17395,1,"昧昧"
"昨日",17396,1,"昨日"
"昭告",17397,1,"昭告"
"昭昭",17398,1,"昭昭"
"枯枝",17399,1,"枯枝"
"架住",17400,1,"架住"
"架設",17401,1,"架設"
"柏",17402,1,"柏"
"柏林",17403,1,"柏林"
"柏傑",17404,1,"柏傑"
"某y",17405,1,"某y"
"某西",17406,1,"某西"
"某板主",17407,1,"某板主"
"某某",17408,1,"某某"
"某某某",17409,1,"某某某"
"染",17410,1,"染"
"染綠",17411,1,"染綠"
"柔性",17412,1,"柔性"
"柔道",17413,1,"柔道"
"查阿",17414,1,"查阿"
"查封",17415,1,"查封"
"查看",17416,1,"查看"
"查得",17417,1,"查得"
"查處",17418,1,"查處"
"查証",17419,1,"查証"
"查證區",17420,1,"查證區"
"柬埔賽",17421,1,"柬埔賽"
"柯林頓",17422,1,"柯林頓"
"柯南算",17423,1,"柯南算"
"柯柯柯柯",17424,1,"柯柯柯柯"
"柯博文",17425,1,"柯博文"
"柯董",17426,1,"柯董"
"柯靈頓",17427,1,"柯靈頓"
"柱子",17428,1,"柱子"
"柳丁汁",17429,1,"柳丁汁"
"柵",17430,1,"柵"
"歪打正著",17431,1,"歪打正著"
"歪風",17432,1,"歪風"
"歪理",17433,1,"歪理"
"殆盡",17434,1,"殆盡"
"段推文",17435,1,"段推文"
"毒手",17436,1,"毒手"
"毒犯",17437,1,"毒犯"
"毒性",17438,1,"毒性"
"毒品界",17439,1,"毒品界"
"毒蛇",17440,1,"毒蛇"
"毒絣",17441,1,"毒絣"
"毒誓",17442,1,"毒誓"
"泉州",17443,1,"泉州"
"洋",17444,1,"洋"
"洋屌",17445,1,"洋屌"
"洗手",17446,1,"洗手"
"洗手間",17447,1,"洗手間"
"洗文",17448,1,"洗文"
"洗文張",17449,1,"洗文張"
"洗甲",17450,1,"洗甲"
"洗板",17451,1,"洗板"
"洗版",17452,1,"洗版"
"洗乾淨",17453,1,"洗乾淨"
"洗腦文",17454,1,"洗腦文"
"洗髮精",17455,1,"洗髮精"
"洗頭",17456,1,"洗頭"
"洗禮",17457,1,"洗禮"
"洛",17458,1,"洛"
"洛克人",17459,1,"洛克人"
"津貼",17460,1,"津貼"
"洨法",17461,1,"洨法"
"洨狐親",17462,1,"洨狐親"
"洨雨",17463,1,"洨雨"
"洨扁關",17464,1,"洨扁關"
"洨意",17465,1,"洨意"
"洨網",17466,1,"洨網"
"洩堡",17467,1,"洩堡"
"洩露",17468,1,"洩露"
"洪",17469,1,"洪"
"洪平朗",17470,1,"洪平朗"
"洪珊鈞",17471,1,"洪珊鈞"
"洪媽",17472,1,"洪媽"
"洪幹",17473,1,"洪幹"
"洪儀",17474,1,"洪儀"
"活下去",17475,1,"活下去"
"活下來",17476,1,"活下來"
"活不成",17477,1,"活不成"
"活生生",17478,1,"活生生"
"活埋",17479,1,"活埋"
"活絡",17480,1,"活絡"
"活潑",17481,1,"活潑"
"活躍",17482,1,"活躍"
"洽",17483,1,"洽"
"洽談",17484,1,"洽談"
"派報",17485,1,"派報"
"派對",17486,1,"派對"
"派頭",17487,1,"派頭"
"流亡",17488,1,"流亡"
"流水",17489,1,"流水"
"流出去",17490,1,"流出去"
"流失",17491,1,"流失"
"流放",17492,1,"流放"
"流星",17493,1,"流星"
"流浪",17494,1,"流浪"
"流真",17495,1,"流真"
"流乾",17496,1,"流乾"
"流掉",17497,1,"流掉"
"流淚",17498,1,"流淚"
"流速",17499,1,"流速"
"流過去",17500,1,"流過去"
"炮打",17501,1,"炮打"
"炮酸民",17502,1,"炮酸民"
"炳",17503,1,"炳"
"炸免",17504,1,"炸免"
"炸沉",17505,1,"炸沉"
"炸胡",17506,1,"炸胡"
"炸裂",17507,1,"炸裂"
"炸毀",17508,1,"炸毀"
"炸瞎",17509,1,"炸瞎"
"炸蝦球",17510,1,"炸蝦球"
"炸爆",17511,1,"炸爆"
"為什么",17512,1,"為什么"
"為重",17513,1,"為重"
"為首",17514,1,"為首"
"為害",17515,1,"為害"
"為期",17516,1,"為期"
"為準",17517,1,"為準"
"為榮",17518,1,"為榮"
"為證",17519,1,"為證"
"爰",17520,1,"爰"
"牲",17521,1,"牲"
"狠招",17522,1,"狠招"
"狠毒",17523,1,"狠毒"
"狡猾",17524,1,"狡猾"
"玲玲",17525,1,"玲玲"
"珍重",17526,1,"珍重"
"珍匾",17527,1,"珍匾"
"珍貴",17528,1,"珍貴"
"畏罪",17529,1,"畏罪"
"疫苗",17530,1,"疫苗"
"皇上",17531,1,"皇上"
"皇民",17532,1,"皇民"
"皇恩",17533,1,"皇恩"
"皇根阿",17534,1,"皇根阿"
"盃阿",17535,1,"盃阿"
"盃盃",17536,1,"盃盃"
"盆地",17537,1,"盆地"
"相互",17538,1,"相互"
"相加",17539,1,"相加"
"相列",17540,1,"相列"
"相約",17541,1,"相約"
"相容性",17542,1,"相容性"
"相容型",17543,1,"相容型"
"相逢",17544,1,"相逢"
"相對論",17545,1,"相對論"
"相輔相成",17546,1,"相輔相成"
"相隨",17547,1,"相隨"
"相識",17548,1,"相識"
"相繼",17549,1,"相繼"
"相驗",17550,1,"相驗"
"盹",17551,1,"盹"
"省下來",17552,1,"省下來"
"省份",17553,1,"省份"
"省府",17554,1,"省府"
"省錢",17555,1,"省錢"
"眉",17556,1,"眉"
"看不過去",17557,1,"看不過去"
"看去",17558,1,"看去"
"看古惑仔",17559,1,"看古惑仔"
"看門",17560,1,"看門"
"看扁",17561,1,"看扁"
"看相師",17562,1,"看相師"
"看重",17563,1,"看重"
"看家本領",17564,1,"看家本領"
"看病",17565,1,"看病"
"看破",17566,1,"看破"
"看推文",17567,1,"看推文"
"看淡",17568,1,"看淡"
"看著辦",17569,1,"看著辦"
"看開",17570,1,"看開"
"看傻了眼",17571,1,"看傻了眼"
"看管",17572,1,"看管"
"看盤",17573,1,"看盤"
"看錯版",17574,1,"看錯版"
"看頭",17575,1,"看頭"
"看醫生",17576,1,"看醫生"
"砂",17577,1,"砂"
"砂石",17578,1,"砂石"
"砂石車",17579,1,"砂石車"
"砂礫",17580,1,"砂礫"
"砍巴",17581,1,"砍巴"
"砍台",17582,1,"砍台"
"砍死",17583,1,"砍死"
"砍除",17584,1,"砍除"
"砍懶",17585,1,"砍懶"
"研究研究",17586,1,"研究研究"
"研究費",17587,1,"研究費"
"研擬",17588,1,"研擬"
"秋天",17589,1,"秋天"
"秋高蟹",17590,1,"秋高蟹"
"秋意",17591,1,"秋意"
"秋颱掃",17592,1,"秋颱掃"
"秋興",17593,1,"秋興"
"秋蟹",17594,1,"秋蟹"
"科工",17595,1,"科工"
"科技版",17596,1,"科技版"
"科技業",17597,1,"科技業"
"科員",17598,1,"科員"
"科特迪亞",17599,1,"科特迪亞"
"科普",17600,1,"科普"
"科鞋",17601,1,"科鞋"
"穿山甲",17602,1,"穿山甲"
"穿好",17603,1,"穿好"
"穿鑿附會",17604,1,"穿鑿附會"
"突",17605,1,"突"
"突兀",17606,1,"突兀"
"突圍",17607,1,"突圍"
"突顯",17608,1,"突顯"
"突顯出",17609,1,"突顯出"
"竿子",17610,1,"竿子"
"籽",17611,1,"籽"
"紀",17612,1,"紀"
"紀元",17613,1,"紀元"
"紀念冊",17614,1,"紀念冊"
"紀國棟",17615,1,"紀國棟"
"紀綠",17616,1,"紀綠"
"紀錄片",17617,1,"紀錄片"
"紀錄檔",17618,1,"紀錄檔"
"約定俗成",17619,1,"約定俗成"
"約阿",17620,1,"約阿"
"紅人",17621,1,"紅人"
"紅十字",17622,1,"紅十字"
"紅火",17623,1,"紅火"
"紅包",17624,1,"紅包"
"紅字",17625,1,"紅字"
"紅沙",17626,1,"紅沙"
"紅怡",17627,1,"紅怡"
"紅法",17628,1,"紅法"
"紅姨人",17629,1,"紅姨人"
"紅姨反",17630,1,"紅姨反"
"紅姨開",17631,1,"紅姨開"
"紅姨開炮",17632,1,"紅姨開炮"
"紅客",17633,1,"紅客"
"紅軍",17634,1,"紅軍"
"紅海",17635,1,"紅海"
"紅茶",17636,1,"紅茶"
"紅移",17637,1,"紅移"
"紅單",17638,1,"紅單"
"紅發",17639,1,"紅發"
"紅儀阿",17640,1,"紅儀阿"
"紅轉黑",17641,1,"紅轉黑"
"美式",17642,1,"美式"
"美其名",17643,1,"美其名"
"美玲",17644,1,"美玲"
"美食",17645,1,"美食"
"美食板",17646,1,"美食板"
"美術",17647,1,"美術"
"美惠",17648,1,"美惠"
"美墨",17649,1,"美墨"
"美穗",17650,1,"美穗"
"美聯",17651,1,"美聯"
"美麗",17652,1,"美麗"
"耍白",17653,1,"耍白"
"耍臭",17654,1,"耍臭"
"耍寶",17655,1,"耍寶"
"耐用",17656,1,"耐用"
"耐性",17657,1,"耐性"
"耐穿",17658,1,"耐穿"
"耐震",17659,1,"耐震"
"耶魯",17660,1,"耶魯"
"背心",17661,1,"背心"
"胎哥",17662,1,"胎哥"
"胖虎亡",17663,1,"胖虎亡"
"胖胖",17664,1,"胖胖"
"胡大",17665,1,"胡大"
"胡子強",17666,1,"胡子強"
"胡子強管",17667,1,"胡子強管"
"胡作非為",17668,1,"胡作非為"
"胡志強",17669,1,"胡志強"
"胡禿",17670,1,"胡禿"
"胡亂",17671,1,"胡亂"
"胡說",17672,1,"胡說"
"胡鬧",17673,1,"胡鬧"
"致力",17674,1,"致力"
"致使",17675,1,"致使"
"致電",17676,1,"致電"
"致歉",17677,1,"致歉"
"致謝",17678,1,"致謝"
"致謝詞",17679,1,"致謝詞"
"苓膏",17680,1,"苓膏"
"苗紅",17681,1,"苗紅"
"苗縣",17682,1,"苗縣"
"苛",17683,1,"苛"
"苛扣",17684,1,"苛扣"
"苛求",17685,1,"苛求"
"苟譬計",17686,1,"苟譬計"
"若此",17687,1,"若此"
"若要",17688,1,"若要"
"苦果",17689,1,"苦果"
"苦笑",17690,1,"苦笑"
"苦衷",17691,1,"苦衷"
"苦頭",17692,1,"苦頭"
"苯",17693,1,"苯"
"英久",17694,1,"英久"
"英才",17695,1,"英才"
"英狗",17696,1,"英狗"
"英金郝吳立",17697,1,"英金郝吳立"
"英傑",17698,1,"英傑"
"英數",17699,1,"英數"
"虐",17700,1,"虐"
"虐待",17701,1,"虐待"
"虐貓",17702,1,"虐貓"
"衍生",17703,1,"衍生"
"要犯",17704,1,"要犯"
"要件",17705,1,"要件"
"要好",17706,1,"要好"
"要角",17707,1,"要角"
"要約",17708,1,"要約"
"要要",17709,1,"要要"
"要害人",17710,1,"要害人"
"要訣",17711,1,"要訣"
"要飯",17712,1,"要飯"
"要緊",17713,1,"要緊"
"訂中",17714,1,"訂中"
"訂有",17715,1,"訂有"
"訂定",17716,1,"訂定"
"訂報",17717,1,"訂報"
"訂製",17718,1,"訂製"
"計算器",17719,1,"計算器"
"計謀",17720,1,"計謀"
"負起",17721,1,"負起"
"負荷",17722,1,"負荷"
"負盡狂",17723,1,"負盡狂"
"軍力",17724,1,"軍力"
"軍官",17725,1,"軍官"
"軍師",17726,1,"軍師"
"軍旅文",17727,1,"軍旅文"
"軍訓",17728,1,"軍訓"
"軍眷",17729,1,"軍眷"
"軍團",17730,1,"軍團"
"軍職",17731,1,"軍職"
"軍屬",17732,1,"軍屬"
"迪",17733,1,"迪"
"迪斯尼",17734,1,"迪斯尼"
"郁慕民",17735,1,"郁慕民"
"郊區",17736,1,"郊區"
"郎弟",17737,1,"郎弟"
"酋",17738,1,"酋"
"重力",17739,1,"重力"
"重工業",17740,1,"重工業"
"重用",17741,1,"重用"
"重申",17742,1,"重申"
"重刑",17743,1,"重刑"
"重念",17744,1,"重念"
"重阿",17745,1,"重阿"
"重建",17746,1,"重建"
"重施",17747,1,"重施"
"重看",17748,1,"重看"
"重要文",17749,1,"重要文"
"重案",17750,1,"重案"
"重病",17751,1,"重病"
"重唸",17752,1,"重唸"
"重啟",17753,1,"重啟"
"重設",17754,1,"重設"
"重傷",17755,1,"重傷"
"重置",17756,1,"重置"
"重槍",17757,1,"重槍"
"重播",17758,1,"重播"
"重選",17759,1,"重選"
"重擊",17760,1,"重擊"
"重覆",17761,1,"重覆"
"重疊",17762,1,"重疊"
"降<U+6E29>",17763,1,"降<U+6E29>"
"降下",17764,1,"降下"
"降到",17765,1,"降到"
"降臨",17766,1,"降臨"
"限下",17767,1,"限下"
"限女",17768,1,"限女"
"限時",17769,1,"限時"
"限期",17770,1,"限期"
"限量",17771,1,"限量"
"面孔",17772,1,"面孔"
"面目",17773,1,"面目"
"面向",17774,1,"面向"
"面具",17775,1,"面具"
"面面俱到",17776,1,"面面俱到"
"面容",17777,1,"面容"
"面試",17778,1,"面試"
"面談",17779,1,"面談"
"韋來亂",17780,1,"韋來亂"
"韋爵爺",17781,1,"韋爵爺"
"音樂會",17782,1,"音樂會"
"風水",17783,1,"風水"
"風水師",17784,1,"風水師"
"風光",17785,1,"風光"
"風向球",17786,1,"風向球"
"風行",17787,1,"風行"
"風城",17788,1,"風城"
"風流",17789,1,"風流"
"風紀",17790,1,"風紀"
"風風雨雨",17791,1,"風風雨雨"
"風情",17792,1,"風情"
"風處",17793,1,"風處"
"風景",17794,1,"風景"
"風範",17795,1,"風範"
"風調雨順",17796,1,"風調雨順"
"風聲鶴唳",17797,1,"風聲鶴唳"
"飛天",17798,1,"飛天"
"飛去",17799,1,"飛去"
"飛到",17800,1,"飛到"
"飛球",17801,1,"飛球"
"飛鳥",17802,1,"飛鳥"
"飛龍案",17803,1,"飛龍案"
"食人魚",17804,1,"食人魚"
"食古不化",17805,1,"食古不化"
"食用",17806,1,"食用"
"食材阿",17807,1,"食材阿"
"食物",17808,1,"食物"
"食屎",17809,1,"食屎"
"食神",17810,1,"食神"
"首功",17811,1,"首功"
"首度",17812,1,"首度"
"首相",17813,1,"首相"
"首要",17814,1,"首要"
"首重",17815,1,"首重"
"首富",17816,1,"首富"
"首腦",17817,1,"首腦"
"香",17818,1,"香"
"香水",17819,1,"香水"
"香水味",17820,1,"香水味"
"香港腳",17821,1,"香港腳"
"香港話",17822,1,"香港話"
"乘客",17823,1,"乘客"
"乘機",17824,1,"乘機"
"修不了",17825,1,"修不了"
"修方",17826,1,"修方"
"修仙",17827,1,"修仙"
"修行",17828,1,"修行"
"修身",17829,1,"修身"
"修訂",17830,1,"修訂"
"修原推文",17831,1,"修原推文"
"修路",17832,1,"修路"
"修養",17833,1,"修養"
"俱",17834,1,"俱"
"俸",17835,1,"俸"
"倉狂",17836,1,"倉狂"
"倉租",17837,1,"倉租"
"倉儲",17838,1,"倉儲"
"個人秀",17839,1,"個人秀"
"個把",17840,1,"個把"
"個股",17841,1,"個股"
"倍感",17842,1,"倍感"
"倍數",17843,1,"倍數"
"們子",17844,1,"們子"
"倒台",17845,1,"倒台"
"倒吊",17846,1,"倒吊"
"倒地",17847,1,"倒地"
"倒灶",17848,1,"倒灶"
"倒坦",17849,1,"倒坦"
"倒阿",17850,1,"倒阿"
"倒掉",17851,1,"倒掉"
"倒貨",17852,1,"倒貨"
"倒塌",17853,1,"倒塌"
"倒爺",17854,1,"倒爺"
"倒霉",17855,1,"倒霉"
"倖存",17856,1,"倖存"
"倚賴",17857,1,"倚賴"
"借助",17858,1,"借助"
"借問",17859,1,"借問"
"借貸",17860,1,"借貸"
"借題發揮",17861,1,"借題發揮"
"倩",17862,1,"倩"
"倫",17863,1,"倫"
"倫敦",17864,1,"倫敦"
"值不值得",17865,1,"值不值得"
"值卡",17866,1,"值卡"
"值勤",17867,1,"值勤"
"党工",17868,1,"党工"
"兼差",17869,1,"兼差"
"兼顧",17870,1,"兼顧"
"冤",17871,1,"冤"
"冤家",17872,1,"冤家"
"冤案",17873,1,"冤案"
"冥",17874,1,"冥"
"准考證",17875,1,"准考證"
"凍",17876,1,"凍"
"凍結",17877,1,"凍結"
"凍蒜",17878,1,"凍蒜"
"凍檸茶",17879,1,"凍檸茶"
"剔牙",17880,1,"剔牙"
"剛猛",17881,1,"剛猛"
"剝",17882,1,"剝"
"剝奪感",17883,1,"剝奪感"
"匪夷所思",17884,1,"匪夷所思"
"匪國報",17885,1,"匪國報"
"卿",17886,1,"卿"
"原人",17887,1,"原人"
"原子筆",17888,1,"原子筆"
"原先",17889,1,"原先"
"原地",17890,1,"原地"
"原有",17891,1,"原有"
"原始碼",17892,1,"原始碼"
"原委",17893,1,"原委"
"原版",17894,1,"原版"
"原狀",17895,1,"原狀"
"原型",17896,1,"原型"
"原音",17897,1,"原音"
"原剖",17898,1,"原剖"
"原原",17899,1,"原原"
"原料",17900,1,"原料"
"原處",17901,1,"原處"
"原著",17902,1,"原著"
"原意",17903,1,"原意"
"哨",17904,1,"哨"
"哩盃",17905,1,"哩盃"
"哩美",17906,1,"哩美"
"哩哥",17907,1,"哩哥"
"哪一天",17908,1,"哪一天"
"哪天",17909,1,"哪天"
"哪板",17910,1,"哪板"
"哪會",17911,1,"哪會"
"哭出",17912,1,"哭出"
"哭泣",17913,1,"哭泣"
"哭哭啼啼",17914,1,"哭哭啼啼"
"哭喊",17915,1,"哭喊"
"哭無",17916,1,"哭無"
"哭窮",17917,1,"哭窮"
"哭調",17918,1,"哭調"
"哭鬧",17919,1,"哭鬧"
"哲學",17920,1,"哲學"
"哲學系",17921,1,"哲學系"
"唇亡齒寒",17922,1,"唇亡齒寒"
"唇槍",17923,1,"唇槍"
"唐日榮",17924,1,"唐日榮"
"唐吉訶德",17925,1,"唐吉訶德"
"唐湘龍爆",17926,1,"唐湘龍爆"
"唧唧",17927,1,"唧唧"
"埃",17928,1,"埃"
"埃塞俄",17929,1,"埃塞俄"
"埋伏",17930,1,"埋伏"
"埋單",17931,1,"埋單"
"埋葬",17932,1,"埋葬"
"夏天",17933,1,"夏天"
"夏季",17934,1,"夏季"
"夏嘉璐",17935,1,"夏嘉璐"
"夏禕",17936,1,"夏禕"
"套子",17937,1,"套子"
"套好",17938,1,"套好"
"套房",17939,1,"套房"
"套超",17940,1,"套超"
"娓娓道來",17941,1,"娓娓道來"
"娘炮",17942,1,"娘炮"
"娘們",17943,1,"娘們"
"娘家板",17944,1,"娘家板"
"娛",17945,1,"娛"
"娜台",17946,1,"娜台"
"娜姊",17947,1,"娜姊"
"娜姐",17948,1,"娜姐"
"娟",17949,1,"娟"
"孫女",17950,1,"孫女"
"孫子",17951,1,"孫子"
"孬成",17952,1,"孬成"
"孬阿",17953,1,"孬阿"
"宰",17954,1,"宰"
"宰相",17955,1,"宰相"
"害人阿",17956,1,"害人阿"
"害版友",17957,1,"害版友"
"害群之馬",17958,1,"害群之馬"
"害慘",17959,1,"害慘"
"害蟲",17960,1,"害蟲"
"宵",17961,1,"宵"
"宵禁",17962,1,"宵禁"
"家人檔",17963,1,"家人檔"
"家小",17964,1,"家小"
"家母",17965,1,"家母"
"家門",17966,1,"家門"
"家家戶戶",17967,1,"家家戶戶"
"家破人亡",17968,1,"家破人亡"
"家訓",17969,1,"家訓"
"家商",17970,1,"家商"
"家游",17971,1,"家游"
"家園",17972,1,"家園"
"家遊",17973,1,"家遊"
"家學",17974,1,"家學"
"家醜",17975,1,"家醜"
"家爆",17976,1,"家爆"
"容有",17977,1,"容有"
"容型",17978,1,"容型"
"射死",17979,1,"射死"
"射洨",17980,1,"射洨"
"射倒",17981,1,"射倒"
"射殺",17982,1,"射殺"
"射愛",17983,1,"射愛"
"屑謝",17984,1,"屑謝"
"峰",17985,1,"峰"
"峱峱",17986,1,"峱峱"
"峱紐",17987,1,"峱紐"
"島國",17988,1,"島國"
"島嶼",17989,1,"島嶼"
"差勁",17990,1,"差勁"
"差亂",17991,1,"差亂"
"師大附中",17992,1,"師大附中"
"師性侵",17993,1,"師性侵"
"師長",17994,1,"師長"
"師徒",17995,1,"師徒"
"師尊",17996,1,"師尊"
"師道",17997,1,"師道"
"庭訊",17998,1,"庭訊"
"弱化",17999,1,"弱化"
"弱肉強食",18000,1,"弱肉強食"
"弱者",18001,1,"弱者"
"弱弱",18002,1,"弱弱"
"弱摟",18003,1,"弱摟"
"弱雞",18004,1,"弱雞"
"徐少萍",18005,1,"徐少萍"
"徐玄",18006,1,"徐玄"
"徐姓",18007,1,"徐姓"
"徐若萱",18008,1,"徐若萱"
"徐耀昌",18009,1,"徐耀昌"
"徒",18010,1,"徒"
"徒刑",18011,1,"徒刑"
"徒增",18012,1,"徒增"
"恁娘",18013,1,"恁娘"
"恁娘大",18014,1,"恁娘大"
"恐佈",18015,1,"恐佈"
"恐慌",18016,1,"恐慌"
"恐懼感",18017,1,"恐懼感"
"恣意",18018,1,"恣意"
"恥辱",18019,1,"恥辱"
"恩小<U+6075>",18020,1,"恩小<U+6075>"
"恭沙",18021,1,"恭沙"
"恭維",18022,1,"恭維"
"息事寧人",18023,1,"息事寧人"
"息怒",18024,1,"息怒"
"悄悄",18025,1,"悄悄"
"悍",18026,1,"悍"
"悔",18027,1,"悔"
"悔意",18028,1,"悔意"
"悔過",18029,1,"悔過"
"悔過書",18030,1,"悔過書"
"悟透",18031,1,"悟透"
"扇",18032,1,"扇"
"拳頭",18033,1,"拳頭"
"拳擊界",18034,1,"拳擊界"
"拿下",18035,1,"拿下"
"拿下來",18036,1,"拿下來"
"拿手",18037,1,"拿手"
"拿給",18038,1,"拿給"
"拿幹麻",18039,1,"拿幹麻"
"拿覷",18040,1,"拿覷"
"挨打",18041,1,"挨打"
"挨低",18042,1,"挨低"
"挫",18043,1,"挫"
"挫屎",18044,1,"挫屎"
"振",18045,1,"振"
"振興",18046,1,"振興"
"挺牛",18047,1,"挺牛"
"挺郝",18048,1,"挺郝"
"挺韓",18049,1,"挺韓"
"挽回",18050,1,"挽回"
"挽救",18051,1,"挽救"
"挾持",18052,1,"挾持"
"捅出包",18053,1,"捅出包"
"捅爆",18054,1,"捅爆"
"捍",18055,1,"捍"
"捏照",18056,1,"捏照"
"捐出",18057,1,"捐出"
"捐款給",18058,1,"捐款給"
"捐爛雞雞",18059,1,"捐爛雞雞"
"捕完",18060,1,"捕完"
"捕推",18061,1,"捕推"
"捕獲量",18062,1,"捕獲量"
"效法",18063,1,"效法"
"效益",18064,1,"效益"
"料中",18065,1,"料中"
"旁觀者清",18066,1,"旁觀者清"
"旅行社",18067,1,"旅行社"
"旅客",18068,1,"旅客"
"旅美",18069,1,"旅美"
"旅鼠",18070,1,"旅鼠"
"時光機",18071,1,"時光機"
"時好時壞",18072,1,"時好時壞"
"時事",18073,1,"時事"
"時尚界",18074,1,"時尚界"
"時尚圈",18075,1,"時尚圈"
"時空",18076,1,"時空"
"時差",18077,1,"時差"
"時效",18078,1,"時效"
"時脈",18079,1,"時脈"
"時區",18080,1,"時區"
"時間差",18081,1,"時間差"
"時機點",18082,1,"時機點"
"時鐘",18083,1,"時鐘"
"晃來晃去",18084,1,"晃來晃去"
"晉升",18085,1,"晉升"
"書包",18086,1,"書包"
"書本",18087,1,"書本"
"書生",18088,1,"書生"
"書名",18089,1,"書名"
"書局",18090,1,"書局"
"書店",18091,1,"書店"
"書記官",18092,1,"書記官"
"書唸",18093,1,"書唸"
"書寫",18094,1,"書寫"
"朗",18095,1,"朗"
"柴",18096,1,"柴"
"柴油",18097,1,"柴油"
"柴契爾",18098,1,"柴契爾"
"校方",18099,1,"校方"
"校門",18100,1,"校門"
"校阿",18101,1,"校阿"
"校規",18102,1,"校規"
"株",18103,1,"株"
"核武",18104,1,"核武"
"核融合",18105,1,"核融合"
"根白賊義",18106,1,"根白賊義"
"根宋",18107,1,"根宋"
"根除",18108,1,"根除"
"根深蒂固",18109,1,"根深蒂固"
"根源",18110,1,"根源"
"格外",18111,1,"格外"
"格血",18112,1,"格血"
"格殺",18113,1,"格殺"
"栽",18114,1,"栽"
"栽贓",18115,1,"栽贓"
"桂",18116,1,"桂"
"桃色",18117,1,"桃色"
"框",18118,1,"框"
"案處",18119,1,"案處"
"案麻",18120,1,"案麻"
"案裝",18121,1,"案裝"
"桌子",18122,1,"桌子"
"桌球",18123,1,"桌球"
"桌椅",18124,1,"桌椅"
"桑心",18125,1,"桑心"
"梳妝師",18126,1,"梳妝師"
"殊",18127,1,"殊"
"殊榮",18128,1,"殊榮"
"殷鑑不遠",18129,1,"殷鑑不遠"
"氣死",18130,1,"氣死"
"氣死人",18131,1,"氣死人"
"氣急敗壞",18132,1,"氣急敗壞"
"氣焰",18133,1,"氣焰"
"氣硬槍",18134,1,"氣硬槍"
"氣結",18135,1,"氣結"
"氣墊",18136,1,"氣墊"
"氣數",18137,1,"氣數"
"氣質",18138,1,"氣質"
"氣魄",18139,1,"氣魄"
"氣囊",18140,1,"氣囊"
"泰",18141,1,"泰"
"浩蕩",18142,1,"浩蕩"
"浪得虛名",18143,1,"浪得虛名"
"浪潮",18144,1,"浪潮"
"浪臉書",18145,1,"浪臉書"
"浮沉",18146,1,"浮沉"
"浮誇",18147,1,"浮誇"
"海平面",18148,1,"海平面"
"海洋法",18149,1,"海洋法"
"海豚",18150,1,"海豚"
"海報",18151,1,"海報"
"海賊王板",18152,1,"海賊王板"
"海賊王版",18153,1,"海賊王版"
"海賊版亂",18154,1,"海賊版亂"
"海嘯",18155,1,"海嘯"
"海翻天",18156,1,"海翻天"
"海灘",18157,1,"海灘"
"浸人",18158,1,"浸人"
"浸水桶",18159,1,"浸水桶"
"消化",18160,1,"消化"
"消劣",18161,1,"消劣"
"消拉",18162,1,"消拉"
"消毒水味",18163,1,"消毒水味"
"消玻塊",18164,1,"消玻塊"
"消風",18165,1,"消風"
"消除",18166,1,"消除"
"消磨",18167,1,"消磨"
"涉",18168,1,"涉"
"涉入",18169,1,"涉入"
"涉足",18170,1,"涉足"
"涉於",18171,1,"涉於"
"涉嫌",18172,1,"涉嫌"
"涉獵",18173,1,"涉獵"
"烈士",18174,1,"烈士"
"烏石港",18175,1,"烏石港"
"烏有",18176,1,"烏有"
"烏魚",18177,1,"烏魚"
"烏煙瘴氣",18178,1,"烏煙瘴氣"
"烏鴉",18179,1,"烏鴉"
"烘乾機",18180,1,"烘乾機"
"烙",18181,1,"烙"
"烙句",18182,1,"烙句"
"烙跑",18183,1,"烙跑"
"烙賽",18184,1,"烙賽"
"特休",18185,1,"特休"
"特休年",18186,1,"特休年"
"特有",18187,1,"特有"
"特考",18188,1,"特考"
"特利尼達",18189,1,"特利尼達"
"特技",18190,1,"特技"
"特長",18191,1,"特長"
"特派",18192,1,"特派"
"特偵組審",18193,1,"特偵組審"
"特異",18194,1,"特異"
"特等",18195,1,"特等"
"特集",18196,1,"特集"
"特意",18197,1,"特意"
"特種",18198,1,"特種"
"特寫",18199,1,"特寫"
"特徵",18200,1,"特徵"
